"Source:","C:\Users\Johannes\Google Drive\Elektronikprojekte\SprinklerBoardESP32V3\SprinklerBoardESP32V3.kicad_sch"
"Date:","07.07.2023 16:58:54"
"Tool:","Eeschema (6.0.10)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","70"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","AVAILABILITY","Arrow Part Number","Arrow Price/Stock","DESCRIPTION","Datasheet_1","Footprint_1","Height","LCSC Part #","LCSC Part#","MF","MP","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock","PACKAGE","PRICE","Reference_1","Value_1"
"","","T8","725996-2","725996-2:725996-2","725996:7259962","","","725996-2","https://www.arrow.com/en/products/725996-2/te-connectivity","","http://www.te.com/commerce/DocumentDelivery/DDEController?Action=showdoc&DocId=Catalog+Section%7F82159_PCB_TERMINALS_AND_DISCONNECTS%7F1207%7Fpdf%7FEnglish%7FENG_CS_82159_PCB_TERMINALS_AND_DISCONNECTS_1207.pdf%7F725996-2","7259962","8","","","","","TE Connectivity","725996-2","571-725996-2","https://www.mouser.co.uk/ProductDetail/TE-Connectivity-AMP/725996-2?qs=qCxwlXJ4fnwSyI%252Bf7tGybA%3D%3D","","","U","725996-2"
"","","U1","TSR_1-2433","Regulator_Switching:TSR_1-2450","Converter_DCDC:Converter_DCDC_TRACO_TSR-1_THT","http://www.tracopower.com/products/tsr1.pdf","","","","","","","","","","","","","","","","","","",""
"","","U2","MAX3485","Interface_UART:MAX3485","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","https://datasheets.maximintegrated.com/en/ds/MAX3483-MAX3491.pdf","","","","","","","","C18148","","","","","","","","","","",""



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","AVAILABILITY","Arrow Part Number","Arrow Price/Stock","DESCRIPTION","Datasheet_1","Footprint_1","Height","LCSC Part #","LCSC Part#","MF","MP","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock","PACKAGE","PRICE","Reference_1","Value_1"
"1","9","C1, C4, C5, C6, C8, C9, C12, C13, C14","10uF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~","","","","","","","","C15525","C15525","","","","","","","","","",""
"2","5","C2, C3, C10, C11, C15","100nF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~","","","","","","","","C1525","","","","","","","","","","",""
"3","1","C7","1uF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~","","","","","","","","C167339","","","","","","","","","","",""
"4","2","D1, D10","1N5819","Diode:1N5819","Diode_SMD:D_SOD-323","http://www.vishay.com/docs/88525/1n5817.pdf","","","","","","","","C191023","","","","","","","","","","",""
"5","1","D2","SMAJ36CA-13-F","Sprinkler_Vers_2.5_routed-eagle-import:SMAJ36CA-13-F","Diode_SMD:D_SMA","","","","","","","","","C10757","","","","","","","","","","",""
"6","1","D3","LED_red","Device:LED_Small","LED_SMD:LED_0402_1005Metric","~","","","","","","","","C434449","","","","","","","","","","",""
"7","1","D4","MB10S","MB10S:MB10S","MB10S:SOIC245P670X290-4N","C2488","Unavailable","","","MB10S Series 0.5 A 1000 V Low Leakage SMT Bridge Rectifier - SOIC-4","","","","C2488","","ON Semiconductor","MB10S","","","","","SOIC-4 ON Semiconductor","None","",""
"8","4","D5, D6, D7, D8","LED","Device:LED","LED_SMD:LED_0402_1005Metric","~","","","","","","","","C130724","","","","","","","","","","",""
"9","1","D9","D_TVS_Dual_AAC","Device:D_TVS_Dual_AAC","Package_TO_SOT_SMD:SOT-23","~","","","","","","","","C32677","","","","","","","","","","",""
"10","4","H1, H2, H3, H4","MountingHole_Pad","Mechanical:MountingHole_Pad","MountingHole:MountingHole_3.2mm_M3_Pad_Via","~","","","","","","","","","","","","","","","","","","",""
